category,split,sample_idx,path,x_idx,roi_z0,roi_z1,roi_y0,roi_y1,roi_shape_zy,mean_env,std_env,speckle_snr_mean_over_std,autocorr_fwhm_z_vox,autocorr_fwhm_y_vox,autocorr_fwhm_z_mm,autocorr_fwhm_y_mm,selection_score
carotid,train,236,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000448_carotid_train_patch002.h5,16,32,63,0,15,32x16,9522.818359375,3953.00048828125,2.4090101652164186,6.570744800213119,3.2624646399970505,0.23786096176771493,0.6524929279994102,0.3583696356457905
carotid,train,297,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000460_carotid_train_patch003.h5,16,32,63,0,15,32x16,647.3456420898438,299.3756408691406,2.162319019044042,6.471447441532836,3.641526857112135,0.23426639738348867,0.728305371422427,0.35894243485106075
carotid,train,184,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000437_carotid_train_patch005.h5,16,16,47,0,15,32x16,1983.35986328125,896.7515869140625,2.211716033987144,7.329561876524396,2.9884359380699324,0.2653301399301832,0.5976871876139865,0.38140985970677405
carotid,train,256,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000452_carotid_train_patch002.h5,16,24,55,4,19,32x16,4403.75732421875,2061.164794921875,2.1365382016364514,7.340152804030126,2.8029829500990515,0.26571353150589055,0.5605965900198103,0.39894100801705745
carotid,train,205,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000442_carotid_train_patch001.h5,16,24,55,4,19,32x16,8738.4912109375,4341.31982421875,2.012865111247603,6.585654221525791,3.1555241341266083,0.23840068281923366,0.6311048268253217,0.4054094587579757
carotid,train,338,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000468_carotid_train_patch004.h5,16,32,63,8,23,32x16,951.3748779296875,479.897216796875,1.9824555022005301,8.639319355651184,2.7144197912832393,0.31274336067457287,0.5428839582566479,0.4067982859920934
carotid,train,164,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000433_carotid_train_patch005.h5,16,16,47,4,19,32x16,7001.4873046875,3450.697265625,2.029006535703551,6.032737802083814,3.5091377943428705,0.21838510843543407,0.7018275588685742,0.41530614423372375
carotid,train,174,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000435_carotid_train_patch005.h5,16,24,55,12,27,32x16,591.9434204101562,305.3199462890625,1.9387643277315731,7.20946090902346,3.45860381511452,0.26098248490664927,0.6917207630229041,0.41929852905004583
carotid,train,153,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000431_carotid_train_patch004.h5,16,32,63,12,27,32x16,3514.392578125,1622.529052734375,2.165996702618268,6.284379647544681,2.969337578368113,0.22749454324111748,0.5938675156736226,0.42378584021155463
carotid,train,112,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000423_carotid_train_patch003.h5,16,16,47,16,31,32x16,6270.9853515625,3095.04052734375,2.0261399798032476,6.86356956758549,2.78141350191261,0.24846121834659474,0.556282700382522,0.4245826493668368
carotid,train,307,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000462_carotid_train_patch003.h5,16,32,63,16,31,32x16,2299.718017578125,1128.4241943359375,2.0379907034264506,6.677412343615879,2.8731534822741196,0.24172232683889486,0.5746306964548239,0.427467326512172
carotid,train,71,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000415_carotid_train_patch002.h5,16,32,63,16,31,32x16,10282.87109375,4748.98046875,2.165279718755423,8.20039338772724,2.3447802571797824,0.29685424063572613,0.46895605143595653,0.43365122900454517
muscle,train,503,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000331_muscle_train_patch004.h5,16,32,63,4,19,32x16,1489.8380126953125,675.2215576171875,2.2064431976266436,6.953049880621402,3.3818635180934153,0.2517004056784948,0.6763727036186831,0.3607609754704784
muscle,train,699,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000370_muscle_train_patch005.h5,16,32,63,16,31,32x16,1876.8192138671875,915.5745239257812,2.049881429443667,5.716020606331531,2.8528121210781183,0.20691994594920143,0.5705624242156236,0.40572521823389696
muscle,train,688,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000368_muscle_train_patch004.h5,16,8,39,4,19,32x16,1467.14794921875,766.620361328125,1.913786827520469,5.439882371425937,4.525932524151449,0.19692374184561895,0.90518650483029,0.41306216987345545
muscle,train,637,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000358_muscle_train_patch003.h5,16,32,63,0,15,32x16,5639.42529296875,2678.96240234375,2.1050781780419805,6.7597144256745905,2.244298854844616,0.2447016622094202,0.44885977096892327,0.4174729359421407
muscle,train,462,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000323_muscle_train_patch003.h5,16,16,47,4,19,32x16,6692.0810546875,2758.093505859375,2.4263430664952597,5.780551440818727,2.9317734587601914,0.20925596215763795,0.5863546917520382,0.41910687326154056
muscle,train,596,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000350_muscle_train_patch002.h5,16,32,63,0,15,32x16,6067.6806640625,3290.586181640625,1.8439512989862692,6.827582760456471,3.343320665549335,0.24715849592852426,0.668664133109867,0.42437762654597666
muscle,train,616,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000354_muscle_train_patch002.h5,16,16,47,12,27,32x16,7692.873046875,3447.46533203125,2.2314576960059957,6.606230643820291,2.660758259018522,0.23914554930629456,0.5321516518037045,0.4315896555786339
muscle,train,555,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000342_muscle_train_patch001.h5,16,32,63,16,31,32x16,2010.3787841796875,950.754150390625,2.1145096062464783,5.426253545341611,2.6488427917323882,0.19643037834136634,0.5297685583464776,0.43625320093365566
muscle,train,606,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000352_muscle_train_patch002.h5,16,0,31,0,15,32x16,2215.38330078125,1373.2958984375,1.6131871531123434,7.94768150824105,3.2550950480418948,0.28770607059832604,0.651019009608379,0.4390202700841173
muscle,train,545,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000340_muscle_train_patch001.h5,16,32,63,16,31,32x16,5378.7607421875,2850.492431640625,1.8869584365434386,5.99096525558386,3.2811223828444884,0.21687294225213574,0.6562244765688977,0.44251218624105837
muscle,train,514,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000333_muscle_train_patch005.h5,16,8,39,12,27,32x16,3939.74560546875,1702.2467041015625,2.314438674474113,5.250048239979428,2.3905880205802306,0.1900517462872553,0.47811760411604615,0.4457122540438091
muscle,train,360,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000303_muscle_train_patch001.h5,16,32,63,4,19,32x16,1865.8125,864.3609008789062,2.158603539450694,5.716552340539454,2.3554120498813997,0.20693919472752823,0.47108240997628,0.45037652269558315
phantom,train,833,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000528_phantom_train_patch004.h5,16,16,47,12,27,32x16,942.3009643554688,545.5191040039062,1.727347323749673,9.611997593873172,7.65883115169033,0.34795431289820883,1.5317662303380661,0.25711030018863656
phantom,train,782,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000518_phantom_train_patch003.h5,16,24,55,16,31,32x16,356.06298828125,145.1160888671875,2.453642398032943,6.262800465395895,2.9463010318288645,0.2267133768473314,0.5892602063657729,0.34663882201731344
phantom,train,915,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000545_phantom_train_patch001.h5,16,16,47,8,23,32x16,776.3011474609375,351.3694763183594,2.2093585236685875,5.409770741765847,3.0891144366584933,0.19583370085192367,0.6178228873316987,0.39329184683791446
phantom,train,802,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000522_phantom_train_patch003.h5,16,0,31,12,27,32x16,423.8164367675781,160.0316162109375,2.6483294164132136,6.910725687710887,2.1404453945320645,0.25016826989513413,0.4280890789064129,0.41095678415346476
