category,split,sample_idx,path,y_idx,roi_z0,roi_z1,roi_x0,roi_x1,roi_shape_zx,mean_env,std_env,speckle_snr_mean_over_std,autocorr_fwhm_z_vox,autocorr_fwhm_x_vox,autocorr_fwhm_z_mm,autocorr_fwhm_x_mm,selection_score,selection_mean,selection_std,selection_cv,selection_grad_norm,selection_high_frac,selection_p99_over_mean
carotid,train,214,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000443_carotid_train_patch005.h5,16,8,39,0,15,32x16,9235.208984375,3188.925048828125,2.8960257274685013,6.355280736126147,2.570274885124953,0.23006116264776655,0.5140549770249906,0.31292867057057233,9235.208984375,3188.925048828125,0.3453007998220126,0.31292867057057233,0.0,1.6986309612054915
carotid,train,134,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000427_carotid_train_patch005.h5,16,24,55,0,15,32x16,5614.005859375,2348.26904296875,2.3906995990023394,6.446970160911682,3.541508572626361,0.2333803198250029,0.7083017145252722,0.317913401749461,5614.005859375,2348.26904296875,0.4182876010090555,0.317913401749461,0.0,1.9669484210632515
carotid,train,8,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000402_carotid_train_patch004.h5,16,16,47,4,19,32x16,1069.2589111328125,429.2513427734375,2.4909855941840906,7.166574200787169,2.9257886867714973,0.25942998606849554,0.5851577373542994,0.32113698058615836,1069.2589111328125,429.2513427734375,0.4014475243593456,0.32113698058615836,0.0,1.8609461480615768
carotid,train,71,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000415_carotid_train_patch002.h5,16,32,63,4,19,32x16,11492.2353515625,5004.99462890625,2.296153383500017,7.94940707465578,3.1586778737349697,0.2877685361025393,0.6317355747469939,0.35081219707701755,11492.2353515625,5004.99462890625,0.43551097552364026,0.35081219707701755,0.0,1.9767033600896797
carotid,train,232,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000447_carotid_train_patch003.h5,16,16,47,0,15,32x16,1709.862060546875,717.5811157226562,2.3828136263381423,6.39417436803132,3.1573431704738155,0.2314691121227338,0.6314686340947632,0.36074210118830025,1709.862060546875,717.5811157226562,0.4196719327716692,0.31972647618830025,0.013671875,2.0026720562796667
carotid,train,17,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000404_carotid_train_patch003.h5,16,32,63,0,15,32x16,608.115966796875,298.67254638671875,2.0360624843285375,5.990502960955244,4.580790813304685,0.21685620718657983,0.9161581626609371,0.37949857268452836,608.115966796875,298.67254638671875,0.4911440624720217,0.32090482268452836,0.01953125,2.1772030593658416
carotid,train,295,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000460_carotid_train_patch001.h5,16,16,47,0,15,32x16,2135.414794921875,821.8382568359375,2.598339487313697,5.824637484322426,2.251219884125427,0.21085187693247184,0.45024397682508543,0.38402688958149606,2135.414794921875,821.8382568359375,0.38486117956582033,0.38402688958149606,0.0,1.7245288743964975
carotid,train,161,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000433_carotid_train_patch002.h5,16,0,31,16,31,32x16,9419.5498046875,4556.27587890625,2.067379161190892,5.724628804938377,3.719692825193221,0.20723156273876928,0.7439385650386443,0.390497431560639,9419.5498046875,4556.27587890625,0.4837042080969608,0.367059931560639,0.0078125,2.0673205110009008
carotid,train,107,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000422_carotid_train_patch003.h5,16,0,31,12,27,32x16,24962.0078125,12021.5712890625,2.0764347032746877,6.307668328553905,2.953464350367476,0.22833759349365138,0.5906928700734951,0.4076538521665894,24962.0078125,12021.5712890625,0.4815947250462187,0.4076538521665894,0.0,1.993874597552468
carotid,train,196,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000440_carotid_train_patch002.h5,16,0,31,16,31,32x16,2138.076171875,1081.146728515625,1.9776003714227566,7.134334479262172,2.9715259963325504,0.25826290814929065,0.5943051992665102,0.40778411559555383,2138.076171875,1081.146728515625,0.5056633354495998,0.39020599059555383,0.005859375,2.4034877294588894
carotid,train,0,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000401_carotid_train_patch001.h5,16,0,31,16,31,32x16,3544.419189453125,1803.6326904296875,1.9651557704959985,5.859698105025474,3.033683768100382,0.21212107140192218,0.6067367536200764,0.40832785792420556,3544.419189453125,1803.6326904296875,0.5088655133672191,0.40832785792420556,0.0,2.061619068434015
carotid,train,53,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/carotid/RF000411_carotid_train_patch004.h5,16,32,63,12,27,32x16,2944.477783203125,1620.0057373046875,1.8175724415038486,6.017932895539986,3.653980583039691,0.21784917081854752,0.7307961166079382,0.412732406921358,2944.477783203125,1620.0057373046875,0.5501843982474807,0.412732406921358,0.0,2.4903476872299923
muscle,train,555,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000342_muscle_train_patch001.h5,16,32,63,4,19,32x16,2218.974609375,1169.42724609375,1.8974883788513242,8.357454850649239,3.7366924897694798,0.3025398655935025,0.747338497953896,0.32746920151129055,2218.974609375,1169.42724609375,0.5270124503241307,0.32746920151129055,0.0,2.1919402965368815
muscle,train,520,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000335_muscle_train_patch001.h5,16,0,31,0,15,32x16,5798.0361328125,2286.93359375,2.5352883654593428,7.082052127880072,2.5600818086561636,0.2563702870292586,0.5120163617312328,0.3441867860362875,5798.0361328125,2286.93359375,0.39443244943019323,0.3441867860362875,0.0,1.7746667657034327
muscle,train,502,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000331_muscle_train_patch003.h5,16,16,47,12,27,32x16,1037.2705078125,451.3315124511719,2.298245256971098,6.904740770405085,3.0603142782090487,0.2499516158886641,0.6120628556418097,0.34931117252263033,1037.2705078125,451.3315124511719,0.43511457141781135,0.34931117252263033,0.0,1.9367712408147493
muscle,train,484,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000327_muscle_train_patch005.h5,16,0,31,4,19,32x16,5421.078125,5564.322265625,0.9742566778509707,7.742495845465814,10.180172746960759,0.28027834960586245,2.0360345493921517,0.3690841505613937,5421.078125,5564.322265625,1.0264235521647271,0.3632247755613937,0.001953125,3.896761123392775
muscle,train,475,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000326_muscle_train_patch001.h5,16,32,63,4,19,32x16,1686.331787109375,1009.17822265625,1.670995022733242,7.995807857540631,4.594125094610318,0.28944824444297085,0.9188250189220636,0.3758985079369903,1686.331787109375,1009.17822265625,0.598445828021858,0.3758985079369903,0.0,2.516148983345674
muscle,train,681,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000367_muscle_train_patch002.h5,16,8,39,0,15,32x16,1247.1143798828125,568.6062622070312,2.1932828791617003,5.072018484575571,3.2753302368422124,0.1836070691416357,0.6550660473684425,0.3900205249666439,1247.1143798828125,568.6062622070312,0.45593753979523594,0.3783017749666439,0.00390625,2.059621229124537
