run_name: 2026-06-05_smoke
status: PASS
abort_reason: None
epoch,d_real,d_fake,d_loss,g_adv,g_fid,g_loss,seconds
1,0.671256,0.559880,0.213247,0.766223,0.266499559,3.431218,38.296
2,0.661656,0.568782,0.241963,0.629283,0.188253300,2.511816,29.757
3,0.649343,0.591333,0.228489,0.483667,0.164461130,2.128279,30.648
4,0.654449,0.585148,0.176216,0.505218,0.165163706,2.156855,29.754
5,0.650729,0.589989,0.191844,0.507442,0.163469432,2.142136,30.844
6,0.651939,0.587710,0.187822,0.525124,0.163733364,2.162458,30.341
7,0.657338,0.582419,0.179248,0.552557,0.164671767,2.199275,30.931
8,0.661056,0.580728,0.169021,0.611802,0.169753197,2.309334,29.347
9,0.663781,0.574015,0.174363,0.623713,0.170037071,2.324084,29.079
10,0.663414,0.574506,0.171838,0.605952,0.166173795,2.267690,27.448
11,0.670092,0.569163,0.145107,0.649659,0.163901368,2.288673,28.432
12,0.670284,0.566474,0.135904,0.665979,0.165398321,2.319963,28.125
13,0.678360,0.561502,0.120873,0.711095,0.168242942,2.393524,28.435
14,0.678962,0.558933,0.126150,0.736313,0.167645158,2.412764,27.991
15,0.675141,0.561424,0.151513,0.694610,0.166021525,2.354825,27.993
16,0.675684,0.563623,0.134294,0.698370,0.164111905,2.339489,27.012
17,0.677099,0.559592,0.131370,0.714761,0.162239921,2.337160,28.035
18,0.679949,0.558334,0.123402,0.719877,0.168192870,2.401806,27.805
19,0.677245,0.558712,0.135272,0.729161,0.162040563,2.349566,28.677
20,0.675289,0.562523,0.144111,0.715592,0.161143675,2.327029,29.369
